ID,Value,Package,Qty,Cost,Total,Part number,Source
R1-R2,22 ohm,0805,2,$0.10,$0.20,P22ACT-ND,http://www.digikey.com/product-detail/en/ERJ-6GEYJ220V/P22ACT-ND/87316
R3,10k,0805,1,$0.10,$0.10,P10KACT-ND,http://www.digikey.com/product-detail/en/ERJ-6GEYJ103V/P10KACT-ND/43118
R4,82 ohm,0805,1,$0.10,$0.10,P82ACT-ND,http://www.digikey.com/product-detail/en/ERJ-6GEYJ820V/P82ACT-ND/42830
R5,1.3k,0805,1,$0.10,$0.10,P1.3KACT-ND,http://www.digikey.com/product-detail/en/ERJ-6GEYJ132V/P1.3KACT-ND/77802
C1,1uF,0805,1,$0.13,$0.13,445-1358-1-ND,http://www.digikey.com/product-detail/en/C2012X7R1C105K125AA/445-1358-1-ND/567583
C2-C4,0.1uF,0805,3,$0.20,$0.60,445-2514-1-ND,http://www.digikey.com/product-detail/en/C2012X8R1H104K125AA/445-2514-1-ND/927171
C5,"10uF, 16V",1206,1,$0.44,$0.44,493-4147-1-ND,http://www.digikey.com/product-detail/en/F931C106KAA/493-4147-1-ND/2529874
U1,ATMega32u4,32-TQFP,1,$6.04,$6.04,ATMEGA32U4-AU-ND,http://www.digikey.com/product-detail/en/ATMEGA32U4-AU/ATMEGA32U4-AU-ND/1914602
U2,AD8223,8-MSOP,1,$3.08,$3.08,AD8223ARMZ-R7CT-ND,http://www.digikey.com/product-detail/en/AD8223ARMZ-R7/AD8223ARMZ-R7CT-ND/1979416
U3,MX12GP,4-SIP,1,$8.69,$8.69,MPX12GP-ND,http://www.digikey.com/product-detail/en/MPX12GP/MPX12GP-ND/951783
Y1,16MHz resonator,PTH 3-lead,1,$0.42,$0.42,490-5998-1-ND,http://www.digikey.com/product-detail/en/CSTLS16M0X51-A0/490-5998-1-ND/3845198
F1,500mA trip PTC,1206,1,$0.30,$0.30,283-3137-1-ND,http://www.digikey.com/product-detail/en/PTS120616V025/283-3137-1-ND/2639169
J1,USB mini-B female,"PTH, R/A",1,$1.49,$1.49,H2959CT-ND,http://www.digikey.com/product-detail/en/0548190519/WM17115-ND/773802
J2,1x4 female header,R/A,1,$0.73,$0.73,S5440-ND,http://www.digikey.com/product-detail/en/PPTC041LGBN-RC/S5440-ND/775898
LED1,Green,0805,1,$0.32,$0.32,160-1423-1-ND,http://www.digikey.com/product-detail/en/LTST-C171GKT/160-1423-1-ND/386792
,,,,,,,
,,,,Total,$22.74,,
